Measure,Sensor,tu,ts,d,acy
3,157,1301250000000,1402495980898,0.59066653,0
3,74,1301250000000,1402495980934,1.3613627,0
3,157,1302000000000,1402495981161,0.59066653,0
3,74,1302000000000,1402495981202,1.3613627,0
3,157,1302250000000,1402495981402,0.59066653,0
3,74,1302250000000,1402495981456,1.356958,0
3,157,1302500000000,1402495981650,0.59066653,0
3,74,1302500000000,1402495981708,1.2344378,0
3,157,1302750000000,1402495981901,0.59066653,0
3,74,1302750000000,1402495981944,1.035883,0
3,157,1303000000000,1402495982149,0.59066653,0
3,74,1303000000000,1402495982199,0.9048131,0
3,157,1303250000000,1402495982401,0.59066653,0
3,74,1303250000000,1402495982440,0.9048131,0
3,157,1304000000000,1402495982655,0.59066653,0
3,74,1304000000000,1402495982692,1.0694355,0
3,157,1304250000000,1402495982898,0.59066653,0
3,74,1304250000000,1402495982941,1.2937802,0
3,157,1304500000000,1402495983150,0.59066653,0
3,74,1304500000000,1402495983185,1.3537757,0
3,157,1304750000000,1402495983403,0.59066653,0
3,74,1304750000000,1402495983458,1.3537757,0
3,157,1305000000000,1402495983647,0.59066653,0
3,74,1305000000000,1402495983678,1.3537757,0
3,157,1305250000000,1402495983903,0.59066653,0
3,74,1305250000000,1402495983952,1.3537757,0
3,157,1306000000000,1402495984152,0.71622753,0
3,74,1306000000000,1402495984203,1.0160598,0
3,157,1306250000000,1402495984402,0.8693895,0
3,74,1306250000000,1402495984449,0.69938815,0
3,157,1306500000000,1402495984651,0.87417454,0
3,74,1306500000000,1402495984698,0.69938815,0
3,157,1306750000000,1402495984919,0.9095606,0
3,74,1306750000000,1402495984923,0.77658653,0
3,157,1307000000000,1402495985150,0.9151122,0
3,74,1307000000000,1402495985195,1.048931,0
3,157,1307250000000,1402495985401,1.2277617,0
3,74,1307250000000,1402495985442,1.048931,0
3,157,1308000000000,1402495985647,1.4937778,0
3,74,1308000000000,1402495985684,1.048931,0
3,157,1308250000000,1402495985903,1.4937778,0
3,74,1308250000000,1402495985961,1.048931,0
3,157,1308500000000,1402495986151,1.4937778,0
3,74,1308500000000,1402495986202,1.048931,0
3,157,1308750000000,1402495986402,1.4937778,0
3,74,1308750000000,1402495986448,1.048931,0
3,157,1309000000000,1402495986650,1.4937778,0
3,74,1309000000000,1402495986699,1.048931,0
3,157,1309250000000,1402495986899,1.4937778,0
3,74,1309250000000,1402495986949,1.048931,0
3,157,1310000000000,1402495987149,1.4937778,0
3,74,1310000000000,1402495987196,1.048931,0
3,157,1310250000000,1402495987399,1.4937778,0
3,74,1310250000000,1402495987443,1.048931,0
3,157,1310500000000,1402495987652,1.4937778,0
3,74,1310500000000,1402495987693,1.048931,0
3,157,1310750000000,1402495987904,1.4937778,0
3,74,1310750000000,1402495987939,1.048931,0
3,157,1311000000000,1402495988152,1.4937778,0
3,74,1311000000000,1402495988192,1.048931,0
3,157,1311250000000,1402495988403,1.4937778,0
3,74,1311250000000,1402495988461,1.048931,0
3,157,1312000000000,1402495988650,1.4937778,0
3,74,1312000000000,1402495988704,1.048931,0
3,157,1312250000000,1402495988903,1.4937778,0
